"","river","time","kobs","kest_mean","kest_low","kest_high","kest_sd"
"145","Kushiyara",12,1.34961936696493,0.877527415610973,0.620422011939428,1.19687273104887,0.142512566640691
"146","Kushiyara",13,1.24984654825113,1.14047462668453,0.817283615037644,1.51817370945133,0.185861373443117
"147","Kushiyara",14,1.49035586128251,1.32805623948487,0.941302256624984,1.8063131035222,0.216888784878758
"148","Kushiyara",15,1.37066750877737,1.12369374264566,0.819850391841989,1.52095843714798,0.179646546909738
"149","Kushiyara",16,1.23901227898841,0.742852949438916,0.535489749829619,1.02790089345339,0.121670244811247
"150","Kushiyara",17,1.67601865733804,1.39807054563768,1.0286413691033,1.86747805273924,0.214206225749161
"151","Kushiyara",18,1.47940576187534,0.979611359141892,0.720589362336614,1.2939657154497,0.155696623058969
"152","Kushiyara",19,1.46483995407778,1.01937386063019,0.735175600481927,1.36958550347443,0.16707134266324
"153","Kushiyara",20,1.45403228940613,1.65284268110669,1.21239188491016,2.19163906266861,0.257523968210621
"154","Kushiyara",21,1.46621519015774,0.856365949284362,0.609756275341895,1.16629088974054,0.139281101096076
"155","Kushiyara",22,1.47301550352992,1.31577305458275,0.970576115125509,1.79027964302002,0.211842565662859
"156","Kushiyara",23,1.54044558794206,0.845182008053578,0.62066156944547,1.14859871824704,0.136173595445953
"157","Kushiyara",24,1.56524442175768,1.4080280872745,1.0184146786628,1.90222378394851,0.226941149924432
"158","Kushiyara",25,1.51433301443977,1.05282375370579,0.772584571873452,1.41062765089966,0.161847282047097
"159","Kushiyara",26,1.39515172170695,1.02708304596831,0.747326723256675,1.36717609909477,0.159245825689017
"160","Kushiyara",27,1.38282428317108,0.85865247153355,0.628401148645013,1.15868660970799,0.137340970837495
"161","Kushiyara",28,1.27039934018345,1.3699505581047,0.971564351936878,1.86340836816288,0.222872607036596
"162","Kushiyara",29,1.18093805037094,0.788555814122478,0.561875730485237,1.07353857793323,0.131637843463337
"163","Kushiyara",30,1.10552824192105,0.975313364045096,0.709538901735593,1.34230122130625,0.161360636171537
"164","Kushiyara",31,1.08845852383959,0.984413773805961,0.706926177150052,1.32975799106449,0.161194442315114
"165","Kushiyara",32,1.07596938555809,0.654282573808587,0.468048751214412,0.879812330707441,0.107749685077993
"166","Kushiyara",33,0.995992497955803,1.03927362618653,0.732885161391255,1.433418810753,0.177416178708603
"167","Kushiyara",34,0.94299227316438,1.2354269159725,0.880498397649285,1.71005019171425,0.212471509620109
"168","MississippiDownstream",1,2.38665875051419,3.00108787918114,2.40049046537408,3.69914753955156,0.33091324483841
"169","MississippiDownstream",2,2.18680128871592,3.68339785241282,2.91258529010962,4.66859201986871,0.452594023358722
"170","MississippiDownstream",3,2.34224235154475,3.69088540443529,2.93131542652675,4.62207093073828,0.438229116403824
"171","MississippiDownstream",4,2.4066187409501,3.56244123793623,2.7927987826607,4.54257597389687,0.451433553115555
"172","MississippiDownstream",5,2.23080872331685,3.55087857990914,2.77363753241697,4.47649649059438,0.439161353750289
"173","MississippiDownstream",6,2.177478663497,3.63531092404819,2.84556768320194,4.57528491736464,0.447980836458279
"174","MississippiDownstream",7,2.36270631341205,3.56305995258332,2.7740695776454,4.59356121845719,0.455688970570324
"175","MississippiDownstream",8,2.32003034608057,3.70356261017453,2.88187734707216,4.66631425259955,0.449504963257149
"176","MississippiDownstream",9,2.31616984300211,3.68404577126965,2.89415028492441,4.62317599342422,0.443854921311395
"177","MississippiDownstream",10,2.18986040972972,3.54221722962949,2.73194981502863,4.45863786917082,0.439808253749135
"178","MississippiDownstream",11,2.18862025858645,3.72064922798195,2.93137379796755,4.65734285584194,0.430095263165736
"179","MississippiDownstream",12,2.22528636823402,3.65017782125096,2.87184311364015,4.62413596841848,0.448965206208942
"180","MississippiDownstream",13,2.34049929979857,3.54066458538618,2.7465335561127,4.44630277483198,0.425243422424758
"181","MississippiDownstream",14,2.16941877293611,3.84022321799369,3.01205236960721,4.81630905785491,0.461246637096998
"182","MississippiDownstream",15,2.06132767363802,3.43740774790895,2.66522804976927,4.34884905888347,0.431701830377501
"183","MississippiIntermediate",1,1.70323693960539,2.03137084845901,1.7073226557185,2.41241622781465,0.181045548469708
"184","MississippiIntermediate",2,2.08945495644522,3.5143536915324,2.89179141848008,4.31977940496971,0.362770626467677
"185","MississippiIntermediate",3,1.65386916953679,2.1949080914875,1.80771806936715,2.65806160506112,0.215158664349894
"186","MississippiIntermediate",4,1.49655113938377,2.17995686071019,1.78553510356436,2.65127177081619,0.218840853539138
"187","MississippiIntermediate",5,2.09795307585023,2.88833851567827,2.3758503044078,3.51099652926104,0.284565428269482
"188","MississippiIntermediate",6,2.15501646677897,3.55899369623614,2.89400650947613,4.32183277658203,0.374488216172635
"189","MississippiIntermediate",7,1.85626042740016,2.65623473365689,2.16586894858024,3.20902580289344,0.261705595600241
"190","MississippiIntermediate",8,2.12313512686717,3.33743117100452,2.75494961854862,4.03249236330379,0.324231059094313
"191","MississippiIntermediate",9,2.38534593902463,3.44586979036749,2.84733581492276,4.15286282351337,0.326590860975676
"192","MississippiIntermediate",10,2.31387512211856,3.60761151133341,3.00806629636737,4.36254618845495,0.347726146732603
"193","MississippiIntermediate",11,2.57532508051664,3.92244635425834,3.21530032596564,4.75829854268585,0.400688119220784
"194","MississippiIntermediate",12,2.35933745227882,3.70163123409387,3.06215873310963,4.47040757848606,0.356423744109064
"195","MississippiIntermediate",13,2.35706158936502,3.45698470774382,2.88127640001063,4.18510404292509,0.334705394711761
